latitude,longitude,area_in_meters,confidence
-33.449531,-70.659725,42.73,0.7792
-33.435514,-70.646039,23.22,0.6747
-33.519256,-70.748337,342.34,0.65
-33.517948,-70.786656,79.16,0.8458
-33.458928,-70.641026,106.06,0.8343
-33.526116,-70.783925,116.49,0.9162
-33.426833,-70.601099,70.44,0.9506
-33.437887,-70.621137,68.78,0.9291
-33.506521,-70.740454,60.27,0.7835
-33.427033,-70.639658,114.14,0.8934
-33.520437,-70.753803,100.42,0.8842
-33.446718,-70.642879,57.34,0.65
-33.401915,-70.590855,106.03,0.8908
-33.430585,-70.787673,255.38,0.7022
-33.520033,-70.75254,106.63,0.9355
-33.521081,-70.762596,34.67,0.9175
-33.394495,-70.59955,143.36,0.9288
-33.390265,-70.595614,81.65,0.8443
-33.513079,-70.755409,139.11,0.65
-33.456694,-70.652963,88.77,0.65
-33.498074,-70.787875,103.03,0.799
-33.43072,-70.614524,62.43,0.7491
-33.405199,-70.581963,73.3,0.854
-33.495527,-70.76495,29.07,0.8735
-33.395035,-70.563842,62.6,0.65
-33.454038,-70.661106,369.88,0.65
-33.457502,-70.761751,40.03,0.9352
-33.458627,-70.65643,253.9,0.9237
-33.423839,-70.619125,55.34,0.8274
-33.457665,-70.650094,850.67,0.9413
-33.525874,-70.774586,95.2,0.8006
-33.406834,-70.587309,26.71,0.8663
-33.395612,-70.58434,248.01,0.7532
-33.503955,-70.762252,60.97,0.7143
-33.396807,-70.571961,83.6,0.65
-33.390793,-70.591181,263.43,0.65
-33.434271,-70.613114,89.62,0.9369
-33.50921,-70.74247,182.07,0.65
-33.467726,-70.764257,88.71,0.9879
-33.433715,-70.605613,47.13,0.65
-33.425717,-70.626561,209.87,0.9244
-33.44445,-70.608425,115.1,0.883
-33.40128,-70.565994,84.6,0.65
-33.43392,-70.779138,114.91,0.8365
-33.517101,-70.744767,151.04,0.65
-33.458954,-70.660413,40.52,0.8701
-33.444754,-70.637065,185.96,0.7434
-33.401148,-70.580188,45.08,0.8771
-33.444364,-70.631362,92.55,0.6743
-33.490006,-70.780636,132.82,0.7419
-33.455647,-70.789509,83.84,0.8211
-33.441192,-70.646884,138.74,0.65
-33.391916,-70.553912,83.47,0.7184
-33.409767,-70.563572,99.93,0.8005
-33.490782,-70.788601,91.71,0.9186
-33.445052,-70.640247,78.65,0.9621
-33.405557,-70.569641,273.57,0.8
-33.443171,-70.796811,118.92,0.9755
-33.42996,-70.621592,87.33,0.7148
-33.415621,-70.565575,158.99,0.7293
-33.424822,-70.61758,85.01,0.65
-33.458694,-70.652754,38.66,0.8301
-33.442803,-70.636432,216.52,0.9047
-33.457447,-70.762536,38.55,0.7266
-33.444014,-70.664318,31.42,0.9833
-33.50777,-70.780629,128.05,0.8364
-33.467774,-70.764732,23.85,0.9397
-33.432112,-70.798352,77.35,0.6592
-33.515642,-70.743219,58.97,0.65
-33.404623,-70.569899,330.17,0.65
-33.444041,-70.618318,267.79,0.7709
-33.461961,-70.80203,65.89,0.9715
-33.432767,-70.665505,155.57,0.671
-33.463729,-70.79788,139.57,0.65
-33.425296,-70.611835,173.18,0.7341
-33.394908,-70.585377,83.45,0.8262
-33.449909,-70.669351,202.16,0.9331
-33.454711,-70.806301,116.21,0.8981
-33.433032,-70.665291,148.92,0.9504
-33.494044,-70.77367,83.69,0.7495
-33.442131,-70.609309,333.83,0.6947
-33.39269,-70.586411,26.46,0.7157
-33.453225,-70.638424,40.05,0.7564
-33.431426,-70.657131,144.55,0.9075
-33.413474,-70.56168,957.43,0.9563
-33.416949,-70.581561,43.87,0.6799
-33.453519,-70.776936,58.98,0.9136
-33.40622,-70.589831,89.58,0.65
-33.452537,-70.664899,26.09,0.7436
-33.437683,-70.779987,145.52,0.7374
-33.443296,-70.602829,73.33,0.8256
-33.413003,-70.574096,167.83,0.7379
-33.429832,-70.637145,190.41,0.8409
-33.397501,-70.571599,317.34,0.65
-33.434867,-70.626811,185.1,0.9053
-33.444473,-70.776288,40.13,0.65
-33.498032,-70.749368,48.73,0.9176
-33.456168,-70.648935,51.36,0.8625
-33.457082,-70.637885,77.57,0.767
-33.454451,-70.799338,20.48,0.9229
-33.424453,-70.604259,223.55,0.65
-33.449943,-70.645035,180.78,0.9738
-33.393306,-70.563893,72.36,0.9804
-33.458535,-70.633999,257.93,0.8648
-33.422155,-70.61717,75.9,0.7477
-33.440631,-70.665613,93.6,0.6744
-33.422289,-70.628155,203.15,0.65
-33.462417,-70.804365,110.49,0.8193
-33.453318,-70.803762,40.39,0.8872
-33.443679,-70.635764,155.0,0.8365
-33.434705,-70.777728,261.64,0.65
-33.45097,-70.792925,42.77,0.9134
-33.434913,-70.626927,58.22,0.9203
-33.437288,-70.63131,18.29,0.7784
-33.493246,-70.771092,84.94,0.65
-33.503766,-70.756762,204.9,0.7189
-33.505526,-70.78653,23.98,0.8135
-33.43027,-70.659722,118.11,0.8894
-33.427563,-70.630028,35.91,0.7356
-33.456069,-70.79243,120.48,0.7616
-33.458976,-70.660206,31.23,0.7032
-33.394781,-70.565359,30.44,0.8843
-33.455011,-70.78892,30.63,0.8091
-33.443314,-70.791274,151.0,0.9065
-33.434947,-70.657903,56.1,0.65
-33.520036,-70.774242,112.75,0.8463
-33.439962,-70.654595,204.65,0.65
-33.447175,-70.77786,46.03,0.7118
-33.391734,-70.56621,108.26,0.8443
-33.453514,-70.662892,99.97,0.9706
-33.394873,-70.555175,38.4,0.8271
-33.455101,-70.640143,173.97,0.65
-33.413535,-70.596655,56.83,0.65
-33.428744,-70.617053,255.69,0.7478
-33.440708,-70.633414,124.62,0.8107
-33.413639,-70.558105,89.32,0.8946
-33.3975,-70.55496,46.46,0.8985
-33.43056,-70.632064,81.74,0.65
-33.451123,-70.65533,27.36,0.6725
-33.449792,-70.650975,209.36,0.9544
-33.401696,-70.556102,108.1,0.65
-33.396453,-70.558622,165.91,0.6572
-33.439045,-70.631934,46.82,0.8161
-33.451774,-70.780148,124.25,0.9256
-33.396232,-70.565554,166.75,0.65
-33.43102,-70.632741,56.15,0.8285
-33.504311,-70.781197,21.05,0.8408
-33.446668,-70.78084,94.92,0.9201
-33.424633,-70.609007,110.51,0.7238
-33.434302,-70.661051,328.65,0.7106
-33.525821,-70.775267,82.91,0.8752
-33.393948,-70.551773,109.85,0.8551
-33.431299,-70.638278,106.86,0.717
-33.41782,-70.559678,18.71,0.7076
-33.444452,-70.600056,54.48,0.8183
-33.436442,-70.614017,75.18,0.9436
-33.459839,-70.795427,156.42,0.7546
-33.441121,-70.761215,43.18,0.9158
-33.430243,-70.650206,27.15,0.9471
-33.398999,-70.554815,35.39,0.8725
-33.434408,-70.669663,253.27,0.65
-33.440122,-70.650009,124.94,0.65
-33.421869,-70.632439,47.15,0.8015
-33.443115,-70.615637,72.94,0.7316
-33.410971,-70.561604,33.76,0.7578
-33.413652,-70.552352,101.46,0.9038
-33.440499,-70.630427,100.11,0.9236
-33.499471,-70.772269,140.48,0.65
-33.495333,-70.763736,33.22,0.9203
-33.424933,-70.633276,93.26,0.8097
-33.438262,-70.639166,84.79,0.9651
-33.436592,-70.653947,137.01,0.7501
-33.452221,-70.772109,33.85,0.65
-33.459623,-70.792861,91.25,0.9628
-33.452579,-70.772319,27.42,0.65
-33.49931,-70.771231,38.43,0.7558
-33.432121,-70.611048,52.75,0.8942
-33.428232,-70.601796,49.73,0.9166
-33.453334,-70.660096,203.69,0.65
-33.516405,-70.78058,97.86,0.9929
-33.443288,-70.659441,280.58,0.7049
-33.455792,-70.668182,45.49,0.9168
-33.444522,-70.617114,46.31,0.65
-33.455999,-70.799973,272.63,0.65
-33.393756,-70.588947,106.99,0.65
-33.451945,-70.658251,54.58,0.65
-33.524052,-70.772467,41.2,0.6718
-33.416889,-70.566038,60.23,0.9153
-33.517379,-70.766312,41.86,0.7963
-33.430143,-70.630702,10.0,0.8923
-33.397996,-70.592306,246.74,0.7108
-33.448754,-70.652646,50.56,0.65
-33.435666,-70.643061,112.4,0.7873
-33.421523,-70.610666,386.82,0.7345
-33.395304,-70.594579,59.99,0.65
-33.449545,-70.64086,57.16,0.8805
-33.446012,-70.79396,59.88,0.9469
-33.437742,-70.640401,134.08,0.9226
-33.511959,-70.782717,11.8,0.8519
-33.494851,-70.770453,182.35,0.9714
-33.432219,-70.667492,153.79,0.65
-33.441683,-70.666445,34.89,0.7982
-33.427658,-70.620771,63.32,0.65
-33.416748,-70.591946,100.71,0.65
-33.402558,-70.564757,222.93,0.8884
-33.438921,-70.618034,49.14,0.7057
-33.43694,-70.633938,123.81,0.7951
-33.423978,-70.622783,15.72,0.938
-33.526911,-70.782582,70.06,0.951
-33.406634,-70.574677,157.95,0.754
-33.458864,-70.808271,23.6,0.8952
-33.451967,-70.664566,120.74,0.8533
-33.4636,-70.771071,67.62,0.9085
-33.436983,-70.661541,66.18,0.7689
-33.408583,-70.555406,73.05,0.9506
-33.440937,-70.634836,70.84,0.804
-33.469749,-70.802881,30.47,0.65
-33.430269,-70.766788,75.69,0.8503
-33.436127,-70.628973,125.73,0.8977
-33.418931,-70.586067,457.67,0.813
-33.529065,-70.740738,16.66,0.7653
-33.398991,-70.558071,218.21,0.6817
-33.419261,-70.5831,110.31,0.65
-33.517559,-70.770731,79.94,0.953
-33.403088,-70.596691,66.1,0.65
-33.40195,-70.55652,134.07,0.771
-33.456308,-70.637928,78.44,0.7304
-33.456885,-70.764071,107.39,0.9134
-33.437739,-70.770961,135.4,0.8417
-33.430651,-70.633111,110.44,0.9648
-33.411667,-70.580466,97.12,0.65
-33.522798,-70.766671,149.9,0.7007
-33.421682,-70.611373,34.55,0.65
-33.400038,-70.582662,96.71,0.7539
-33.4019,-70.559604,55.09,0.7757
-33.443128,-70.631894,325.71,0.8627
-33.450386,-70.659544,449.18,0.8767
-33.404341,-70.572024,112.76,0.727
-33.403023,-70.587491,138.42,0.738
-33.45602,-70.778204,69.52,0.857
-33.391842,-70.571916,190.27,0.9237
-33.422289,-70.601566,59.01,0.65
-33.430407,-70.608404,90.7,0.7053
-33.523756,-70.771671,39.39,0.65
-33.424479,-70.613848,50.36,0.7603
-33.444624,-70.799214,121.44,0.8659
-33.440585,-70.664378,108.62,0.6532
-33.457445,-70.660111,375.16,0.9585
-33.417456,-70.578175,58.17,0.908
-33.45045,-70.80428,46.84,0.9476
-33.451105,-70.661948,75.85,0.8702
-33.437153,-70.779817,59.23,0.65
-33.408326,-70.554043,75.97,0.7294
-33.444291,-70.657861,165.6,0.9018
-33.457487,-70.655607,57.48,0.7024
-33.435212,-70.773432,93.2,0.65
-33.492473,-70.773544,638.51,0.6972
-33.43223,-70.778353,67.2,0.8629
-33.407636,-70.577261,33.6,0.65
-33.432006,-70.611244,53.03,0.7192
-33.429823,-70.608189,67.77,0.6617
-33.42893,-70.617313,69.9,0.8658
-33.434365,-70.630728,17.65,0.9366
-33.421122,-70.626145,218.29,0.9273
-33.436006,-70.767256,103.15,0.8938
-33.51569,-70.788364,75.83,0.9374
-33.421463,-70.63275,92.09,0.9745
-33.420198,-70.604163,174.12,0.65
-33.426784,-70.602421,112.6,0.8198
-33.445213,-70.63913,53.73,0.7195
-33.437373,-70.602344,56.35,0.8888
-33.44217,-70.787478,109.8,0.65
-33.452175,-70.665288,45.2,0.9262
-33.409026,-70.588767,25.77,0.65
-33.503879,-70.761051,160.63,0.92
-33.392552,-70.555277,70.52,0.8623
-33.404658,-70.556595,81.96,0.7088
-33.409006,-70.58537,269.27,0.6925
-33.431801,-70.663917,146.67,0.65
-33.464067,-70.795771,50.1,0.8801
-33.501471,-70.781142,15.16,0.9765
-33.464822,-70.800277,57.73,0.9315
-33.454009,-70.663779,93.39,0.6969
-33.441774,-70.6684,504.14,0.8333
-33.446263,-70.796162,196.86,0.8268
-33.452177,-70.661012,14.05,0.65
-33.440732,-70.613064,198.19,0.9577
-33.390654,-70.55461,133.8,0.8131
-33.428311,-70.628443,47.1,0.65
-33.435865,-70.787596,27.34,0.9371
-33.426338,-70.61234,21.52,0.7896
-33.454965,-70.657957,408.19,0.8416
-33.407811,-70.558824,52.53,0.8505
-33.501903,-70.78849,312.33,0.9338
-33.421147,-70.614179,45.91,0.65
-33.419598,-70.563971,79.16,0.6748
-33.422846,-70.616831,40.47,0.65
-33.438185,-70.799858,158.91,0.8426
-33.448986,-70.657012,182.61,0.7007
-33.430692,-70.632769,96.39,0.99
-33.413239,-70.559427,213.89,0.9405
-33.438685,-70.633932,132.21,0.65
-33.439562,-70.788252,143.41,0.8283
-33.414931,-70.572461,112.4,0.8327
-33.4267,-70.628775,81.31,0.7317
-33.438544,-70.659851,84.51,0.8816
-33.422174,-70.631966,120.56,0.65
-33.415763,-70.554692,24.1,0.9394
-33.392977,-70.565519,114.37,0.974
-33.435072,-70.65278,124.75,0.974
-33.429146,-70.639864,98.11,0.967
-33.435125,-70.627338,62.35,0.7902
-33.436916,-70.615298,225.43,0.9097
-33.428456,-70.618515,220.55,0.9651
-33.428842,-70.602746,28.83,0.7814
-33.432917,-70.805459,57.95,0.8504
-33.451658,-70.654267,136.16,0.9278
-33.428627,-70.602586,248.0,0.6729
-33.454052,-70.643454,142.24,0.65
-33.394521,-70.56842,244.31,0.7632
-33.455835,-70.631848,26.58,0.942
-33.392968,-70.559801,53.58,0.8767
-33.443171,-70.635468,101.66,0.9159
-33.499381,-70.777316,80.85,0.7699
-33.436136,-70.604467,102.73,0.7747
-33.392306,-70.563087,119.76,0.7084
-33.407624,-70.599524,130.64,0.8423
-33.432667,-70.662185,164.4,0.7315
-33.437717,-70.788493,24.31,0.6773
-33.44276,-70.800868,230.78,0.9117
-33.410542,-70.584346,31.38,0.9021
-33.444538,-70.635686,230.67,0.65
-33.526394,-70.778285,316.79,0.7642
-33.451366,-70.656676,167.0,0.65
-33.459356,-70.662115,47.99,0.9894
-33.443506,-70.611381,106.51,0.7809
-33.454541,-70.638895,454.35,0.9189
-33.440049,-70.636643,25.34,0.65
-33.405442,-70.592078,63.17,0.7324
-33.507952,-70.782631,61.16,0.7022
-33.397975,-70.568372,81.28,0.963
-33.490308,-70.757189,217.3,0.8775
-33.499308,-70.767872,126.85,0.7334
-33.432589,-70.63229,141.8,0.8343
-33.4031,-70.576317,260.23,0.6763
-33.392774,-70.550276,52.11,0.6662
-33.449368,-70.630181,134.09,0.7404
-33.440049,-70.76423,134.67,0.6644
-33.442032,-70.636744,111.7,0.977
-33.416177,-70.578531,170.14,0.65
-33.468028,-70.778358,238.76,0.8258
-33.452208,-70.634094,162.56,0.7763
-33.450847,-70.777208,235.9,0.747
-33.435162,-70.634072,238.23,0.65
-33.415724,-70.561635,76.31,0.9447
-33.492959,-70.761573,62.99,0.7512
-33.419202,-70.596439,64.51,0.8285
-33.495835,-70.749739,68.25,0.8403
-33.443069,-70.665895,47.86,0.7422
-33.469175,-70.793071,41.8,0.9252
-33.40337,-70.593318,59.17,0.8466
-33.491132,-70.771041,114.56,0.8884
-33.43657,-70.624028,88.01,0.8843
-33.436727,-70.604108,247.63,0.8725
-33.44923,-70.669747,239.26,0.9848
-33.394051,-70.574126,155.04,0.789
-33.428441,-70.638163,77.86,0.6856
-33.436516,-70.64796,230.85,0.8706
-33.522243,-70.78378,179.21,0.832
-33.453521,-70.638019,87.27,0.953
-33.433727,-70.760339,306.83,0.6804
-33.437222,-70.795792,53.76,0.65
-33.446046,-70.657257,113.0,0.8388
-33.427925,-70.639826,216.72,0.9422
-33.449822,-70.642884,159.19,0.8303
-33.438354,-70.77776,46.71,0.67
-33.433398,-70.615135,532.17,0.7122
-33.417808,-70.585927,43.0,0.9029
-33.415588,-70.575282,147.83,0.7224
-33.442128,-70.669794,85.57,0.959
-33.427517,-70.624852,100.03,0.8315
-33.51753,-70.764317,55.92,0.6552
-33.524798,-70.760746,57.77,0.8651
-33.424826,-70.617465,120.65,0.8837
-33.525364,-70.7488,42.49,0.8698
-33.43686,-70.603697,35.3,0.9177
-33.391707,-70.587129,185.0,0.7958
-33.406094,-70.595791,43.95,0.6995
-33.406779,-70.583075,105.91,0.8976
-33.463038,-70.798267,76.36,0.8118
-33.437617,-70.667124,24.81,0.8832
-33.524871,-70.754598,13.15,0.65
-33.456892,-70.781198,133.62,0.8125
-33.437062,-70.636717,39.14,0.7862
-33.429344,-70.612481,42.96,0.8937
-33.451148,-70.667443,79.7,0.9736
-33.434242,-70.628944,140.57,0.7417
-33.527668,-70.784252,100.34,0.9539
-33.398072,-70.552358,179.2,0.9084
-33.467531,-70.807212,234.74,0.65
-33.40496,-70.570469,148.95,0.6708
-33.421194,-70.604401,11.54,0.65
-33.399679,-70.584414,52.7,0.9399
-33.409235,-70.573181,27.81,0.9096
-33.425692,-70.619331,120.07,0.8319
-33.434747,-70.779339,78.07,0.9504
-33.411929,-70.568889,134.79,0.8369
-33.444964,-70.614352,77.64,0.8408
-33.527069,-70.7894,249.88,0.9444
-33.521306,-70.74449,43.01,0.841
-33.431489,-70.80014,55.79,0.65
-33.441642,-70.641368,323.87,0.65
-33.439563,-70.641411,150.1,0.6711
-33.404146,-70.559458,38.23,0.8441
-33.442713,-70.628134,314.13,0.7708
-33.423964,-70.634114,119.57,0.65
-33.506834,-70.742847,116.27,0.7853
-33.504237,-70.75456,103.49,0.9797
-33.433522,-70.626296,47.69,0.65
-33.459024,-70.639702,43.32,0.65
-33.439687,-70.807153,53.68,0.7601
-33.523833,-70.765533,154.9,0.7477
-33.452903,-70.642767,301.91,0.8303
-33.445426,-70.643491,147.04,0.798
-33.529879,-70.747225,77.35,0.8993
-33.4216,-70.600238,238.03,0.65
-33.447262,-70.799535,31.27,0.7343
-33.430559,-70.631378,109.39,0.8914
-33.447795,-70.638636,149.02,0.9531
-33.466533,-70.806178,59.83,0.8775
-33.428066,-70.603797,76.0,0.65
-33.423347,-70.636853,241.39,0.65
-33.445492,-70.667443,34.46,0.9467
-33.432003,-70.663436,46.2,0.65
-33.501923,-70.76349,36.82,0.6907
-33.443108,-70.764805,385.14,0.7035
-33.394453,-70.551767,140.86,0.65
-33.39131,-70.59881,32.59,0.7873
-33.438073,-70.666171,244.52,0.8444
-33.408039,-70.551049,156.22,0.8743
-33.418947,-70.579505,97.2,0.7414
-33.430877,-70.638578,215.73,0.9615
-33.446633,-70.668647,39.68,0.9469
-33.490142,-70.782781,68.9,0.8063
-33.442713,-70.612484,263.71,0.7629
-33.412804,-70.578579,73.15,0.65
-33.447415,-70.796138,76.29,0.65
-33.439283,-70.627543,47.94,0.7804
-33.528425,-70.744906,62.69,0.8598
-33.444757,-70.761909,134.21,0.8593
-33.513011,-70.776122,365.02,0.9254
-33.490747,-70.786827,26.13,0.8577
-33.431327,-70.607301,262.59,0.8242
-33.410231,-70.569293,44.86,0.8667
-33.446748,-70.635381,158.38,0.9516
-33.45462,-70.666099,221.66,0.65
-33.503234,-70.768473,16.73,0.65
-33.413735,-70.595818,264.77,0.6594
-33.428614,-70.635293,31.35,0.65
-33.447269,-70.654343,45.92,0.65
-33.44862,-70.769998,138.76,0.825
-33.469239,-70.805165,166.25,0.8066
-33.442234,-70.627609,77.62,0.9679
-33.457315,-70.80398,484.27,0.9267
-33.420792,-70.60165,79.75,0.7334
-33.403909,-70.578387,49.46,0.796
-33.437617,-70.618642,64.28,0.6583
-33.409656,-70.573566,27.25,0.65
-33.440083,-70.639297,366.59,0.66
-33.413125,-70.588887,65.18,0.8711
-33.434838,-70.630266,346.39,0.9216
-33.454998,-70.653724,35.74,0.7437
-33.39195,-70.596362,27.74,0.9053
-33.42189,-70.602436,104.96,0.65
-33.417754,-70.591083,142.71,0.8955
-33.519628,-70.76043,141.54,0.841
-33.420598,-70.622531,146.79,0.9222
-33.411578,-70.583062,35.52,0.8689
-33.397981,-70.569589,135.93,0.65
-33.452207,-70.64288,63.21,0.9088
-33.459778,-70.649338,46.84,0.8213
-33.454511,-70.640481,63.36,0.7954
-33.404391,-70.596852,67.83,0.8447
-33.507694,-70.760752,100.24,0.9263
-33.441655,-70.650203,62.18,0.791
-33.527609,-70.760288,84.8,0.7199
-33.452565,-70.634608,68.01,0.797
-33.494935,-70.783008,137.03,0.9301
-33.402964,-70.578596,39.85,0.65
-33.425456,-70.604712,278.45,0.8528
-33.438802,-70.625803,52.78,0.7381
-33.513246,-70.782019,88.03,0.9092
-33.442639,-70.61314,51.94,0.7303
-33.431209,-70.669771,209.21,0.9486
-33.439145,-70.611657,58.99,0.8602
-33.441675,-70.649638,386.54,0.7427
-33.404739,-70.596852,131.26,0.8679
-33.414349,-70.569853,131.71,0.8636
-33.446274,-70.63442,104.21,0.8975
-33.454829,-70.658179,109.02,0.8098
-33.501334,-70.757897,97.18,0.8601
-33.453392,-70.651386,99.44,0.9786
-33.452925,-70.806358,11.93,0.65
-33.405456,-70.5904,214.75,0.7715
-33.411633,-70.587801,85.24,0.65
-33.430264,-70.636487,29.5,0.65
-33.448458,-70.669585,111.25,0.9565
-33.508168,-70.774311,122.75,0.8181
-33.444497,-70.625643,42.0,0.8089
-33.451115,-70.632331,101.25,0.7996
-33.456445,-70.657196,508.87,0.9058
-33.451596,-70.664711,290.01,0.7401
-33.459523,-70.637439,101.47,0.65
-33.459846,-70.662809,480.74,0.8277
-33.508299,-70.753834,91.88,0.6739
-33.395958,-70.579358,107.14,0.7887
-33.407447,-70.572194,233.56,0.7718
-33.408567,-70.56573,32.69,0.8802
-33.509263,-70.76827,299.13,0.65
-33.403795,-70.563132,39.43,0.8968
-33.446947,-70.788066,153.51,0.9848
-33.518737,-70.776319,50.58,0.65
-33.440069,-70.640812,75.0,0.7954
-33.418838,-70.552689,177.52,0.65
-33.442453,-70.604936,60.88,0.9243
-33.44065,-70.653017,47.76,0.8665
-33.43206,-70.76399,42.55,0.8422
-33.447199,-70.638152,226.79,0.9548
-33.441303,-70.660411,117.21,0.6967
-33.39905,-70.587795,210.61,0.7627
-33.511082,-70.787998,63.76,0.7145
-33.410144,-70.567449,73.64,0.9799
-33.462302,-70.773439,40.93,0.8745
-33.402165,-70.593843,183.39,0.65
-33.433079,-70.630517,84.27,0.7434
-33.430161,-70.639552,61.85,0.65
-33.415985,-70.554106,274.23,0.9623
-33.40622,-70.593565,87.53,0.762
-33.419597,-70.59036,160.56,0.955
-33.398993,-70.557731,102.08,0.65
-33.442599,-70.76268,221.97,0.935
-33.412434,-70.571435,93.32,0.7013
-33.393994,-70.587371,140.24,0.7193
-33.390993,-70.555336,585.24,0.9225
-33.39787,-70.585694,646.21,0.9682
-33.469755,-70.799749,486.11,0.65
-33.466578,-70.80185,180.77,0.65
-33.529982,-70.740828,241.92,0.9307
-33.431003,-70.632911,135.42,0.7699
-33.411326,-70.59748,37.43,0.65
-33.454563,-70.668785,386.78,0.748
-33.516024,-70.78447,44.12,0.65
-33.508406,-70.750524,162.6,0.8664
-33.459999,-70.639631,72.41,0.6623
-33.394395,-70.573606,28.95,0.65
-33.496742,-70.785608,40.68,0.7388
-33.456076,-70.655061,82.57,0.7007
-33.46573,-70.77088,65.79,0.8067
-33.433552,-70.612813,112.07,0.8416
-33.437106,-70.621278,94.68,0.8135
-33.447902,-70.764886,59.57,0.9986
-33.433271,-70.655961,133.42,0.6603
-33.423132,-70.635373,100.8,0.9289
-33.458175,-70.809265,44.42,0.65
-33.452719,-70.765013,187.85,0.8965
-33.425289,-70.608053,108.25,0.9723
